study_accession	run_accession	instrument_model	sample_name	fastq_md5	fastq_ftp	species	citation	latitude	longitude	note
PRJEB6689	ERR636109	Illumina HiSeq 2000	1718-9	e572c439994416da71687b0491cb4148;08e31830f3a35d0e843293c43e852274	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636109/ERR636109_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636109/ERR636109_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	48.5833333	88.4333333	
PRJEB6689	ERR636110	Illumina HiSeq 2000	1984-2	11c2abb4e1350c190a31b0a2b804e087;b02aa9a09e31105c1591d5cb948699cd	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636110/ERR636110_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636110/ERR636110_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	53.35	83.7333333	
PRJEB6689	ERR636111	Illumina HiSeq 2000	1985-11	dab6e1bedba4cd86fd40fadbfd359ce0;e619273a5fabea0c1be4e3ed73061621	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR636/ERR636111/DKCo_13_1985-11.1.fq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR636/ERR636111/DKCo_13_1985-11.2.fq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	53.35	83.7333333	
PRJEB6689	ERR636112	Illumina HiSeq 2000	2006-01	1964bfc03cb82a420f92fcaba6c2867f;edf4057330f996e41b9aab561299e27a	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636112/ERR636112_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636112/ERR636112_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	47.15	86.1166667	
PRJEB6689	ERR636113	Illumina HiSeq 2000	2007-03	74195747859f0c1b7fb6836ce6a3d259;486b918b62ca0328b04a6293ab395744	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636113/ERR636113_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636113/ERR636113_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	47.2333333	85.7166667	
PRJEB6689	ERR636114	Illumina HiSeq 2000	2008-01	c1b7066a2b14d8ea1de4f3e2ffc902dc;e0f2034409f937e027bdff6c0396c5ee	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636114/ERR636114_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636114/ERR636114_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	46.6166667	90.8666667	
PRJEB6689	ERR636115	Illumina HiSeq 2000	1719-1	5c01afe36a40a6c302daf64b9b1ceaa2;f0f4d8f56723d46ec645e658a7e1ae61	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636115/ERR636115_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636115/ERR636115_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	48.5833333	88.4333333	
PRJEB6689	ERR636116	Illumina HiSeq 2000	1938-1_1	566b1d31567cd2833bf4441799b216c0;1257899b69775fc5030e89b1257cc8f5	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636116/ERR636116_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636116/ERR636116_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	53.3333333	83.75	
PRJEB6689	ERR636117	Illumina HiSeq 2000	1939-1_6	168dcaa78c6d5829d075be632752b97d;642250ff661aace359f1c19818fc159a	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636117/ERR636117_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636117/ERR636117_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	52.2666667	76.95	
PRJEB6689	ERR636118	Illumina HiSeq 2000	1940-1_1	d70c16472e480606b98f7013b97b0e3d;f545b075d0538dd20cdb21d71eaf5e38	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636118/ERR636118_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636118/ERR636118_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	50.7833333	75.6833333	
PRJEB6689	ERR636119	Illumina HiSeq 2000	1978-6	01008c0aba3895d65daa8262b6778c4a;8d5a53c2a2a7116ac1ef187b836773e7	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636119/ERR636119_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636119/ERR636119_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	51.1	81.9	
PRJEB6689	ERR636120	Illumina HiSeq 2000	1979-02	d96482dcf622867d5fca3322049bb9cc;5feb9f55364842bed7c32da0b59c48e8	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636120/ERR636120_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636120/ERR636120_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	51.1166667	81.8	
PRJEB6689	ERR636121	Illumina HiSeq 2000	1980-1	8eea2ae7d638c869914ca793b84a655e;781b39c53deefdc6bfc4ef26fd1d36d1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636121/ERR636121_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636121/ERR636121_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	51.1666667	81.6666667	
PRJEB6689	ERR636122	Illumina HiSeq 2000	1981-3	841aa3d3d8546cc19e10954ff78fce50;407a97d1be4b8b151697652334927ff4	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636122/ERR636122_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636122/ERR636122_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	51.1333333	81.6	
PRJNA414494	SRR6179226	Illumina HiSeq 2000	FY1	91b8aa00cfa5705a3e023c3372639797;81eb26754fb22fc54a5daaa551025f58	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/006/SRR6179226/SRR6179226_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/006/SRR6179226/SRR6179226_2.fastq.gz	Capsella orientalis	Huang et al. New Phytologist 2018	47.3	89.966667	
PRJNA414494	SRR6179227	Illumina HiSeq 2000	QH2	425697f7b497b1f4b4c1ec5ce2e9f3d9;566d1b76d59334ba6161f5fbd4cc8404	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/007/SRR6179227/SRR6179227_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/007/SRR6179227/SRR6179227_2.fastq.gz	Capsella orientalis	Huang et al. New Phytologist 2018	46.7	90.833333	
PRJNA414494	SRR6179228	Illumina HiSeq 2000	QH1	10fe893f63167af2de121eba59ac7cfe;0b9961bc886e569d76c8039b584c3c37	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/008/SRR6179228/SRR6179228_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/008/SRR6179228/SRR6179228_2.fastq.gz	Capsella orientalis	Huang et al. New Phytologist 2018	46.7	90.833333	
PRJNA533007	SRR8904459	Illumina HiSeq 2500	PAR-RUS	e2efe8be03c49809266ad73b32093f33;f16ca2ab269134357d4067fb644d9267	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/009/SRR8904459/SRR8904459_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/009/SRR8904459/SRR8904459_2.fastq.gz	Capsella orientalis	Kryvokhyzha et al. PLoS Genetics 2019, https://doi.org/10.1371/journal.pgen.1008131	53.3	60.1	
PRJNA533007	SRR8904460	Illumina HiSeq 2500	QH-CHIN4	612e0d82a088514879a588796f79e370;e8ca35cefab5dcf581d3966ad6f814d2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/000/SRR8904460/SRR8904460_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/000/SRR8904460/SRR8904460_2.fastq.gz	Capsella orientalis	Kryvokhyzha et al. PLoS Genetics 2019, https://doi.org/10.1371/journal.pgen.1008131	46.7	90.83	
PRJNA533007	SRR8904461	Illumina HiSeq 2500	URAL-RUS4	df8d780b794f14d1a66327ad9cf6cc2d;13f5ff651c4c46fa68d1203228917827	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/001/SRR8904461/SRR8904461_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/001/SRR8904461/SRR8904461_2.fastq.gz	Capsella orientalis	Kryvokhyzha et al. PLoS Genetics 2019, https://doi.org/10.1371/journal.pgen.1008131	55.11	61.39	
PRJNA533007	SRR8904471	Illumina HiSeq 2500	GUB-RUS5	b82f97aeaf05beec6e717e8a89abac52;0498a4aed0ac8eb5d6a4466a8a877f0a	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/001/SRR8904471/SRR8904471_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/001/SRR8904471/SRR8904471_2.fastq.gz	Capsella orientalis	Kryvokhyzha et al. PLoS Genetics 2019, https://doi.org/10.1371/journal.pgen.1008131	51.29	58.18	
PRJEB6689	ERR636123	Illumina HiSeq 2000	1207	1c198fa31e68793a39e3616e07d57d84;59ef349d4cef7a4cb6bdb4e256e29850	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636123/ERR636123_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636123/ERR636123_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	28.316667	-16.566667	
PRJEB6689	ERR636124	Illumina Genome Analyzer II	1208	fd657372bc7d04425c8bbe00c27f3d97;033c2fb41f5e6f0e8e813f3b23ac8c2a	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636124/ERR636124_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636124/ERR636124_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	28.316667	-16.566667	
PRJEB6689	ERR636125	Illumina HiSeq 2000	1209	93f26aad95751328fc0e4415a60b30da;537f94f0534bdc1df81d5be79fd74870	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636125/ERR636125_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636125/ERR636125_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	28.316667	-16.566667	
PRJEB6689	ERR636126	Illumina HiSeq 2000	14	d9cbe36fd8f127b0fb924fc0c6778fdf;0aed9324091757a83c8bcf4a92c247d7	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636126/ERR636126_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636126/ERR636126_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	NA	NA	
PRJEB6689	ERR636127	Illumina Genome Analyzer II	1311	ca099bda913d217d2c5a2b2c6b3ce320;92a20ce8110cc0c028a5321e5295316a	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636127/ERR636127_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636127/ERR636127_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	42.8833333	-0.1	
PRJEB6689	ERR636128	Illumina HiSeq 2000	1377	8b3cae3e717cb2c9d6d664526984b4db;cae7c1dd2c4ebeaac44a697a7944ae6c	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636128/ERR636128_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636128/ERR636128_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	-34.6666667	-58.5	
PRJEB6689	ERR636129	Illumina HiSeq 2000	78.1	6e6681e8973caeefd0db59700750236f;14dfc6d5ded738ae74edd51ffe506801	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636129/ERR636129_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636129/ERR636129_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	37.69185	21.62535	
PRJEB6689	ERR636130	Illumina Genome Analyzer II	690	cfcda5d6f663adfbc8f0f9399ab33bee;4fbc2ce42f15419fc6077f43309043ac	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636130/ERR636130_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636130/ERR636130_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	36.15	-5.58	
PRJEB6689	ERR636131	Illumina HiSeq 2000	83.10.	274e8862cfe667f7a6b0d5b80c81d764;1c80a316d64924ff606c8ac6c8961a91	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636131/ERR636131_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636131/ERR636131_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	NA	NA	
PRJEB6689	ERR636132	Illumina HiSeq 2000	72.12	3188506883936dc2eed30c1c3b0a1b65;51229885c984ae0d3a55ae510c57e074	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636132/ERR636132_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636132/ERR636132_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	38.1557667	22.7215	
PRJEB6689	ERR636133	Illumina HiSeq 2000	34.11	baadad190f929af7a2c58bed32e29f72;68c5fa62a174b7f5566b3a478c898d25	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636133/ERR636133_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636133/ERR636133_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	38.1605	16.051867	
PRJEB6689	ERR636134	Illumina HiSeq 2000	177	afd206426d1cd94a06c1a8244e6a2726;f57b4128131d9b2c7328d8ef2a4b6390	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636134/ERR636134_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636134/ERR636134_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	NA	NA	
PRJEB6689	ERR636135	Illumina HiSeq 2000	104.12	c0e008a074494b099ab94fc9c4b19a41;df26fdf3d5815799754166970c2eb081	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636135/ERR636135_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636135/ERR636135_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	NA	NA	
PRJEB6689	ERR636136	Illumina Genome Analyzer II	1453	14462c1f35473a28ce5cd41456111c02;57764fdeb7fa1e633a56becdbf44cc4d	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR636/ERR636136/DKCr_18_1453.1.fq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR636/ERR636136/DKCr_18_1453.2.fq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	43.466667	11.033333	
PRJEB6689	ERR636137	Illumina HiSeq 2000	84.15	8afffa79ceba5dda4a028943ad681afa;b08f21dff11b48d4e10de7c5063a23db	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636137/ERR636137_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636137/ERR636137_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	38.476433	21.429833	
PRJEB6689	ERR636138	Illumina HiSeq 2000	6.26	ddf1d1699184cb150c264706ad1005c4;846851755f672e3115d1a7da74cc3881	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636138/ERR636138_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636138/ERR636138_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	44.56205	0.353967	
PRJEB6689	ERR636139	Illumina HiSeq 2000	23.9	1748263cb141b9a322376b8a8145e9cc;b0d8350732de346b536623f1f4b52a91	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636139/ERR636139_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636139/ERR636139_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	40.723	15.1951167	
PRJEB6689	ERR636140	Illumina HiSeq 2000	22.13	b9550a8b2098b3cd5cadf70becba8c5b;ed9358e7f0b3d11f8c3407e8d8eb0a41	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636140/ERR636140_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636140/ERR636140_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	41.289667	13.951083	
PRJEB6689	ERR636141	Illumina HiSeq 2000	1408	dfe4ed7f8fb8ab5267d9cd3bd6ea7240;99f4e8d79b56a2f848190718126668c1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636141/ERR636141_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636141/ERR636141_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	35.29	24.42	
PRJEB6689	ERR636142	Illumina HiSeq 2000	RIAH	9bff36ed461504f828426fad249f91d4;84434cb888c7477812b0d40e40c1c844	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636142/ERR636142_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636142/ERR636142_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	NA	NA	
PRJEB6689	ERR636143	Illumina HiSeq 2000	1411-3	175ef9cdefe3f674670947c5a5e260c4;bae0eb8f1f97b25ef4a7c8f59984a087	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636143/ERR636143_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636143/ERR636143_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	35.29	24.42	
PRJEB6689	ERR636144	Illumina Genome Analyzer II	774	a04b187ce22611af5c2c91eff2a5fb72;f315ea66f171901f1567ca936a1f2517	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636144/ERR636144_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636144/ERR636144_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	41.8333333	16	
PRJEB6689	ERR636145	Illumina HiSeq 2000	1314-10	2e9df3f35157813425030d3d4cc220aa;adefe34db78b2406c3ea4dcb387426a2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636145/ERR636145_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636145/ERR636145_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	47.316667	5.016667	
PRJEB6689	ERR636146	Illumina HiSeq 2000	1319-3	f78cb8bad3c350b1e252bfd12029d74b;d2f9eb6f2fa4194acf69a888bafb980d	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636146/ERR636146_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636146/ERR636146_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	47.366667	3.983334	
PRJEB6689	ERR636147	Illumina Genome Analyzer II	86IT1	3f96819c0084c4088e45d65e2acc8f3b;4d29878f3c3f6b800b3cebf0d936a496	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636147/ERR636147_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636147/ERR636147_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	40.62	14.37	
